# QA TAB — paste into the 'QA' sheet
# Each chapter has 2 worksheets × 5 questions = 10 rows.
# worksheet = 1 or 2
# type = short  (1-3 sentences)  OR  long  (paragraph answer)
#
"chapter_id","chapter_name","worksheet","question","answer","type"
"6-maths-2","Lines and Angles","1","What are complementary and supplementary angles? Give one example of each.","Complementary angles: two angles whose sum is 90°. Example: 40° and 50°. Supplementary angles: two angles whose sum is 180°. Example: 120° and 60°.","short"
"6-maths-2","Lines and Angles","1","Find the value of x if two angles (3x + 10)° and (2x + 5)° form a linear pair.","Linear pair sum = 180°. (3x+10)+(2x+5)=180. 5x+15=180. 5x=165. x=33°. The angles are 3(33)+10=109° and 2(33)+5=71°. Check: 109+71=180° ✓","short"
"6-maths-2","Lines and Angles","1","What are vertically opposite angles? Are they always equal?","When two lines intersect, angles formed directly opposite each other are vertically opposite angles. Yes, they are always equal. If one angle is 65°, the angle directly opposite is also 65°.","short"
"6-maths-2","Lines and Angles","1","State the three angle relationships formed when a transversal cuts two parallel lines.","1. Corresponding angles are equal (same position at each intersection). 2. Alternate interior angles are equal (between parallel lines, opposite sides of transversal). 3. Co-interior (same-side interior) angles are supplementary — they add to 180°.","short"
"6-maths-2","Lines and Angles","2","Explain with examples the angles formed when a transversal cuts two parallel lines.","When a transversal crosses two parallel lines (l ∥ m), 8 angles are formed (4 at each intersection). Corresponding angles (e.g., ∠1 and ∠5) — same position, equal. Alternate interior angles (e.g., ∠3 and ∠6) — between lines, opposite sides, equal. Alternate exterior angles — outside lines, opposite sides, equal. Co-interior angles (e.g., ∠3 and ∠5) — same side, supplementary (sum=180°). These are used to find unknown angles in geometry problems.","long"
"6-maths-2","Lines and Angles","2","The angles of a triangle are in the ratio 2:3:5. Find each angle and identify the triangle type.","Sum of angles = 180°. Ratio 2:3:5, total parts=10. Each part = 180°÷10 = 18°. Angles: 2×18=36°, 3×18=54°, 5×18=90°. Since one angle is 90°, it is a right-angled triangle. The other two (36° and 54°) are complementary.","long"
"6-maths-2","Lines and Angles","2","Give three real-life examples each of parallel lines and perpendicular lines.","Parallel lines: (1) Railway tracks — two rails never meet. (2) Opposite edges of a door frame. (3) Lines on a ruled notebook. Perpendicular lines: (1) A wall meeting the floor (90° angle). (2) Clock hands at 3:00. (3) The corner of a book — edges meet at right angles.","long"
"6-maths-2","Lines and Angles","2","Two adjacent angles form a straight line. One angle is 3 times the other. Find both angles.","Let smaller angle = x°. Larger = 3x°. Linear pair: x+3x=180°. 4x=180°. x=45°. Smaller=45°, Larger=135°. Verification: 45°+135°=180° ✓","short"
"6-maths-2","Lines and Angles","2","Write two properties each of a line, a ray, and a line segment.","Line: (1) Extends infinitely in both directions — no endpoints. (2) Infinite length; cannot be measured. Ray: (1) Has one fixed starting point; extends infinitely one way. (2) Named from its starting point — Ray AB starts at A. Line Segment: (1) Has two endpoints; length is definite and measurable. (2) Shortest distance between two points.","short"
"6-maths-3","Number Play","1","What is place value? Find the place value and face value of 8 in 38,542.","Place value is the value of a digit based on its position. In 38,542, the digit 8 is in the thousands place. Place value of 8 = 8 × 1000 = 8000. Face value of 8 = 8 (always the digit itself, regardless of position).","short"
"6-maths-3","Number Play","1","What is Kaprekar's constant? Show the steps for any 4-digit number of your choice.","Kaprekar's constant is 6174. Steps for 5321: Descending: 5321, Ascending: 1235. 5321−1235=4086. Descending: 8640, Ascending: 0468. 8640−0468=8172. Descending: 8721, Ascending: 1278. 8721−1278=7443. Descending: 7443, Ascending: 3447. 7443−3447=3996. Descending: 9963, Ascending: 3699. 9963−3699=6264. 6642−2466=4176. 7641−1467=6174. Reached 6174!","long"
"6-maths-3","Number Play","1","Verify that 153 is an Armstrong number. Also check if 123 is an Armstrong number.","153 is a 3-digit number. Sum of cubes of digits = 1³+5³+3³ = 1+125+27 = 153. Since sum = number, 153 IS an Armstrong number. For 123: 1³+2³+3³ = 1+8+27 = 36 ≠ 123. So 123 is NOT an Armstrong number.","short"
"6-maths-3","Number Play","1","Round 47,836 to the nearest (a) ten, (b) hundred, (c) thousand.","(a) Nearest ten: look at units digit = 6 (≥5) → round up → 47,840. (b) Nearest hundred: look at tens digit = 3 (<5) → round down → 47,800. (c) Nearest thousand: look at hundreds digit = 8 (≥5) → round up → 48,000.","short"
"6-maths-3","Number Play","1","Check if 8,142 reaches 6174 using Kaprekar's operation (show at least 2 steps).","Step 1: Descending: 8421. Ascending: 1248. 8421−1248=7173. Step 2: Descending: 7731. Ascending: 1377. 7731−1377=6354. Step 3: Descending: 6543. Ascending: 3456. 6543−3456=3087. Continue until reaching 6174.","short"
"6-maths-3","Number Play","2","Explain with examples how rounding is used in everyday life. When might overestimation be better than underestimation?","Rounding in daily life: (1) Shopping — rounding prices to nearest ₹10 for quick budgeting. (2) Time — saying a journey takes about 2 hours instead of 1 hour 47 minutes. (3) Population — saying a city has about 12 lakh people instead of 11,84,327. Overestimation is better when: planning expenses (always budget a bit more to avoid shortfall), estimating materials needed for construction (better to have extra than run short), medical dosing safety margins.","long"
"6-maths-3","Number Play","2","Why is 0 considered an even number? Explain using the divisibility rule.","A number is even if it is divisible by 2 with remainder 0. 0 ÷ 2 = 0 with remainder 0. Therefore 0 satisfies the definition and is an even number. Also, even numbers follow the pattern ...-4, -2, 0, 2, 4... — 0 fits perfectly in this sequence between -2 and 2.","short"
"6-maths-3","Number Play","2","Write the palindrome trick for 89. Show all steps until you reach a palindrome.","89 + 98 = 187. 187 + 781 = 968. 968 + 869 = 1837. 1837 + 7381 = 9218. 9218 + 8129 = 17347. 17347 + 74371 = 91718. 91718 + 81719 = 173437. 173437 + 734371 = 907808. 907808 + 808709 = 1716517. 1716517 + 7156171 = 8872688. 8872688 + 8862788 = 17735476... 89 is known as a delayed palindrome — it takes 24 steps!","long"
"6-maths-3","Number Play","2","State and explain four divisibility rules with examples.","1. Divisible by 2: last digit is 0, 2, 4, 6 or 8. Example: 348 (last digit 8 — divisible). 2. Divisible by 3: digit sum divisible by 3. Example: 453 → 4+5+3=12 → divisible by 3. 3. Divisible by 9: digit sum divisible by 9. Example: 729 → 7+2+9=18 → divisible by 9. 4. Divisible by 11: difference between alternating digit sums is 0 or divisible by 11. Example: 121 → 1−2+1=0 → divisible by 11.","long"
"6-maths-3","Number Play","2","Explain the difference between estimation and approximation with one example each.","Estimation: Making a rough calculation without precise computation, often using mental arithmetic or rounding. Example: Estimating the total cost of 23 items at ₹48 each → 23×48 ≈ 23×50 = ₹1150. Approximation: Finding a value close to the exact answer, often with a stated level of accuracy (nearest 10, 100 etc). Example: The exact answer is 1104; approximated to nearest hundred = 1100. Estimation is a process; approximation is the result of that process.","long"
"6-maths-4","Data Handling and Presentation","1","","","short"
"6-maths-4","Data Handling and Presentation","1","","","short"
"6-maths-4","Data Handling and Presentation","1","","","short"
"6-maths-4","Data Handling and Presentation","1","","","short"
"6-maths-4","Data Handling and Presentation","1","","","short"
"6-maths-4","Data Handling and Presentation","2","","","short"
"6-maths-4","Data Handling and Presentation","2","","","short"
"6-maths-4","Data Handling and Presentation","2","","","short"
"6-maths-4","Data Handling and Presentation","2","","","short"
"6-maths-4","Data Handling and Presentation","2","","","short"
"6-maths-5","Prime Time","1","","","short"
"6-maths-5","Prime Time","1","","","short"
"6-maths-5","Prime Time","1","","","short"
"6-maths-5","Prime Time","1","","","short"
"6-maths-5","Prime Time","1","","","short"
"6-maths-5","Prime Time","2","","","short"
"6-maths-5","Prime Time","2","","","short"
"6-maths-5","Prime Time","2","","","short"
"6-maths-5","Prime Time","2","","","short"
"6-maths-5","Prime Time","2","","","short"
"6-maths-6","Perimeter and Area","1","","","short"
"6-maths-6","Perimeter and Area","1","","","short"
"6-maths-6","Perimeter and Area","1","","","short"
"6-maths-6","Perimeter and Area","1","","","short"
"6-maths-6","Perimeter and Area","1","","","short"
"6-maths-6","Perimeter and Area","2","","","short"
"6-maths-6","Perimeter and Area","2","","","short"
"6-maths-6","Perimeter and Area","2","","","short"
"6-maths-6","Perimeter and Area","2","","","short"
"6-maths-6","Perimeter and Area","2","","","short"
"6-maths-7","Fractions","1","","","short"
"6-maths-7","Fractions","1","","","short"
"6-maths-7","Fractions","1","","","short"
"6-maths-7","Fractions","1","","","short"
"6-maths-7","Fractions","1","","","short"
"6-maths-7","Fractions","2","","","short"
"6-maths-7","Fractions","2","","","short"
"6-maths-7","Fractions","2","","","short"
"6-maths-7","Fractions","2","","","short"
"6-maths-7","Fractions","2","","","short"
"6-maths-8","Playing with Constructions","1","","","short"
"6-maths-8","Playing with Constructions","1","","","short"
"6-maths-8","Playing with Constructions","1","","","short"
"6-maths-8","Playing with Constructions","1","","","short"
"6-maths-8","Playing with Constructions","1","","","short"
"6-maths-8","Playing with Constructions","2","","","short"
"6-maths-8","Playing with Constructions","2","","","short"
"6-maths-8","Playing with Constructions","2","","","short"
"6-maths-8","Playing with Constructions","2","","","short"
"6-maths-8","Playing with Constructions","2","","","short"
"6-maths-9","Symmetry","1","","","short"
"6-maths-9","Symmetry","1","","","short"
"6-maths-9","Symmetry","1","","","short"
"6-maths-9","Symmetry","1","","","short"
"6-maths-9","Symmetry","1","","","short"
"6-maths-9","Symmetry","2","","","short"
"6-maths-9","Symmetry","2","","","short"
"6-maths-9","Symmetry","2","","","short"
"6-maths-9","Symmetry","2","","","short"
"6-maths-9","Symmetry","2","","","short"
"6-maths-10","The Other Side of Zero","1","","","short"
"6-maths-10","The Other Side of Zero","1","","","short"
"6-maths-10","The Other Side of Zero","1","","","short"
"6-maths-10","The Other Side of Zero","1","","","short"
"6-maths-10","The Other Side of Zero","1","","","short"
"6-maths-10","The Other Side of Zero","2","","","short"
"6-maths-10","The Other Side of Zero","2","","","short"
"6-maths-10","The Other Side of Zero","2","","","short"
"6-maths-10","The Other Side of Zero","2","","","short"
"6-maths-10","The Other Side of Zero","2","","","short"
"6-science-1","The Wonderful World of Science","1","","","short"
"6-science-1","The Wonderful World of Science","1","","","short"
"6-science-1","The Wonderful World of Science","1","","","short"
"6-science-1","The Wonderful World of Science","1","","","short"
"6-science-1","The Wonderful World of Science","1","","","short"
"6-science-1","The Wonderful World of Science","2","","","short"
"6-science-1","The Wonderful World of Science","2","","","short"
"6-science-1","The Wonderful World of Science","2","","","short"
"6-science-1","The Wonderful World of Science","2","","","short"
"6-science-1","The Wonderful World of Science","2","","","short"
"6-science-2","Diversity in the Living World","1","","","short"
"6-science-2","Diversity in the Living World","1","","","short"
"6-science-2","Diversity in the Living World","1","","","short"
"6-science-2","Diversity in the Living World","1","","","short"
"6-science-2","Diversity in the Living World","1","","","short"
"6-science-2","Diversity in the Living World","2","","","short"
"6-science-2","Diversity in the Living World","2","","","short"
"6-science-2","Diversity in the Living World","2","","","short"
"6-science-2","Diversity in the Living World","2","","","short"
"6-science-2","Diversity in the Living World","2","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","1","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","1","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","1","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","1","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","1","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","2","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","2","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","2","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","2","","","short"
"6-science-3","Mindful Eating: A Path to a Healthy Body","2","","","short"
"6-science-4","Seeing Without Touching","1","","","short"
"6-science-4","Seeing Without Touching","1","","","short"
"6-science-4","Seeing Without Touching","1","","","short"
"6-science-4","Seeing Without Touching","1","","","short"
"6-science-4","Seeing Without Touching","1","","","short"
"6-science-4","Seeing Without Touching","2","","","short"
"6-science-4","Seeing Without Touching","2","","","short"
"6-science-4","Seeing Without Touching","2","","","short"
"6-science-4","Seeing Without Touching","2","","","short"
"6-science-4","Seeing Without Touching","2","","","short"
"6-science-5","A Journey Through States of Matter","1","","","short"
"6-science-5","A Journey Through States of Matter","1","","","short"
"6-science-5","A Journey Through States of Matter","1","","","short"
"6-science-5","A Journey Through States of Matter","1","","","short"
"6-science-5","A Journey Through States of Matter","1","","","short"
"6-science-5","A Journey Through States of Matter","2","","","short"
"6-science-5","A Journey Through States of Matter","2","","","short"
"6-science-5","A Journey Through States of Matter","2","","","short"
"6-science-5","A Journey Through States of Matter","2","","","short"
"6-science-5","A Journey Through States of Matter","2","","","short"
"6-science-6","Nature's Treasure","1","","","short"
"6-science-6","Nature's Treasure","1","","","short"
"6-science-6","Nature's Treasure","1","","","short"
"6-science-6","Nature's Treasure","1","","","short"
"6-science-6","Nature's Treasure","1","","","short"
"6-science-6","Nature's Treasure","2","","","short"
"6-science-6","Nature's Treasure","2","","","short"
"6-science-6","Nature's Treasure","2","","","short"
"6-science-6","Nature's Treasure","2","","","short"
"6-science-6","Nature's Treasure","2","","","short"
"6-science-7","Temperature and its Measurement","1","","","short"
"6-science-7","Temperature and its Measurement","1","","","short"
"6-science-7","Temperature and its Measurement","1","","","short"
"6-science-7","Temperature and its Measurement","1","","","short"
"6-science-7","Temperature and its Measurement","1","","","short"
"6-science-7","Temperature and its Measurement","2","","","short"
"6-science-7","Temperature and its Measurement","2","","","short"
"6-science-7","Temperature and its Measurement","2","","","short"
"6-science-7","Temperature and its Measurement","2","","","short"
"6-science-7","Temperature and its Measurement","2","","","short"
"6-science-8","A Treat for Mosquitoes","1","","","short"
"6-science-8","A Treat for Mosquitoes","1","","","short"
"6-science-8","A Treat for Mosquitoes","1","","","short"
"6-science-8","A Treat for Mosquitoes","1","","","short"
"6-science-8","A Treat for Mosquitoes","1","","","short"
"6-science-8","A Treat for Mosquitoes","2","","","short"
"6-science-8","A Treat for Mosquitoes","2","","","short"
"6-science-8","A Treat for Mosquitoes","2","","","short"
"6-science-8","A Treat for Mosquitoes","2","","","short"
"6-science-8","A Treat for Mosquitoes","2","","","short"
"6-science-9","From Mud to Pot","1","","","short"
"6-science-9","From Mud to Pot","1","","","short"
"6-science-9","From Mud to Pot","1","","","short"
"6-science-9","From Mud to Pot","1","","","short"
"6-science-9","From Mud to Pot","1","","","short"
"6-science-9","From Mud to Pot","2","","","short"
"6-science-9","From Mud to Pot","2","","","short"
"6-science-9","From Mud to Pot","2","","","short"
"6-science-9","From Mud to Pot","2","","","short"
"6-science-9","From Mud to Pot","2","","","short"
"6-science-10","Wonders of Light","1","","","short"
"6-science-10","Wonders of Light","1","","","short"
"6-science-10","Wonders of Light","1","","","short"
"6-science-10","Wonders of Light","1","","","short"
"6-science-10","Wonders of Light","1","","","short"
"6-science-10","Wonders of Light","2","","","short"
"6-science-10","Wonders of Light","2","","","short"
"6-science-10","Wonders of Light","2","","","short"
"6-science-10","Wonders of Light","2","","","short"
"6-science-10","Wonders of Light","2","","","short"
"7-maths-1","Large Numbers Around Us","1","","","short"
"7-maths-1","Large Numbers Around Us","1","","","short"
"7-maths-1","Large Numbers Around Us","1","","","short"
"7-maths-1","Large Numbers Around Us","1","","","short"
"7-maths-1","Large Numbers Around Us","1","","","short"
"7-maths-1","Large Numbers Around Us","2","","","short"
"7-maths-1","Large Numbers Around Us","2","","","short"
"7-maths-1","Large Numbers Around Us","2","","","short"
"7-maths-1","Large Numbers Around Us","2","","","short"
"7-maths-1","Large Numbers Around Us","2","","","short"
"7-maths-2","Fractions and Decimals","1","","","short"
"7-maths-2","Fractions and Decimals","1","","","short"
"7-maths-2","Fractions and Decimals","1","","","short"
"7-maths-2","Fractions and Decimals","1","","","short"
"7-maths-2","Fractions and Decimals","1","","","short"
"7-maths-2","Fractions and Decimals","2","","","short"
"7-maths-2","Fractions and Decimals","2","","","short"
"7-maths-2","Fractions and Decimals","2","","","short"
"7-maths-2","Fractions and Decimals","2","","","short"
"7-maths-2","Fractions and Decimals","2","","","short"
"7-maths-3","Playing with Numbers","1","","","short"
"7-maths-3","Playing with Numbers","1","","","short"
"7-maths-3","Playing with Numbers","1","","","short"
"7-maths-3","Playing with Numbers","1","","","short"
"7-maths-3","Playing with Numbers","1","","","short"
"7-maths-3","Playing with Numbers","2","","","short"
"7-maths-3","Playing with Numbers","2","","","short"
"7-maths-3","Playing with Numbers","2","","","short"
"7-maths-3","Playing with Numbers","2","","","short"
"7-maths-3","Playing with Numbers","2","","","short"
"7-maths-4","Ratio and Proportion","1","","","short"
"7-maths-4","Ratio and Proportion","1","","","short"
"7-maths-4","Ratio and Proportion","1","","","short"
"7-maths-4","Ratio and Proportion","1","","","short"
"7-maths-4","Ratio and Proportion","1","","","short"
"7-maths-4","Ratio and Proportion","2","","","short"
"7-maths-4","Ratio and Proportion","2","","","short"
"7-maths-4","Ratio and Proportion","2","","","short"
"7-maths-4","Ratio and Proportion","2","","","short"
"7-maths-4","Ratio and Proportion","2","","","short"
"7-maths-5","Simple Equations","1","","","short"
"7-maths-5","Simple Equations","1","","","short"
"7-maths-5","Simple Equations","1","","","short"
"7-maths-5","Simple Equations","1","","","short"
"7-maths-5","Simple Equations","1","","","short"
"7-maths-5","Simple Equations","2","","","short"
"7-maths-5","Simple Equations","2","","","short"
"7-maths-5","Simple Equations","2","","","short"
"7-maths-5","Simple Equations","2","","","short"
"7-maths-5","Simple Equations","2","","","short"
"7-maths-6","Lines and Angles","1","","","short"
"7-maths-6","Lines and Angles","1","","","short"
"7-maths-6","Lines and Angles","1","","","short"
"7-maths-6","Lines and Angles","1","","","short"
"7-maths-6","Lines and Angles","1","","","short"
"7-maths-6","Lines and Angles","2","","","short"
"7-maths-6","Lines and Angles","2","","","short"
"7-maths-6","Lines and Angles","2","","","short"
"7-maths-6","Lines and Angles","2","","","short"
"7-maths-6","Lines and Angles","2","","","short"
"7-maths-7","The Triangle and Its Properties","1","","","short"
"7-maths-7","The Triangle and Its Properties","1","","","short"
"7-maths-7","The Triangle and Its Properties","1","","","short"
"7-maths-7","The Triangle and Its Properties","1","","","short"
"7-maths-7","The Triangle and Its Properties","1","","","short"
"7-maths-7","The Triangle and Its Properties","2","","","short"
"7-maths-7","The Triangle and Its Properties","2","","","short"
"7-maths-7","The Triangle and Its Properties","2","","","short"
"7-maths-7","The Triangle and Its Properties","2","","","short"
"7-maths-7","The Triangle and Its Properties","2","","","short"
"7-maths-8","Congruence of Triangles","1","","","short"
"7-maths-8","Congruence of Triangles","1","","","short"
"7-maths-8","Congruence of Triangles","1","","","short"
"7-maths-8","Congruence of Triangles","1","","","short"
"7-maths-8","Congruence of Triangles","1","","","short"
"7-maths-8","Congruence of Triangles","2","","","short"
"7-maths-8","Congruence of Triangles","2","","","short"
"7-maths-8","Congruence of Triangles","2","","","short"
"7-maths-8","Congruence of Triangles","2","","","short"
"7-maths-8","Congruence of Triangles","2","","","short"
"7-maths-9","Data Handling","1","","","short"
"7-maths-9","Data Handling","1","","","short"
"7-maths-9","Data Handling","1","","","short"
"7-maths-9","Data Handling","1","","","short"
"7-maths-9","Data Handling","1","","","short"
"7-maths-9","Data Handling","2","","","short"
"7-maths-9","Data Handling","2","","","short"
"7-maths-9","Data Handling","2","","","short"
"7-maths-9","Data Handling","2","","","short"
"7-maths-9","Data Handling","2","","","short"
"7-maths-10","Perimeter and Area","1","","","short"
"7-maths-10","Perimeter and Area","1","","","short"
"7-maths-10","Perimeter and Area","1","","","short"
"7-maths-10","Perimeter and Area","1","","","short"
"7-maths-10","Perimeter and Area","1","","","short"
"7-maths-10","Perimeter and Area","2","","","short"
"7-maths-10","Perimeter and Area","2","","","short"
"7-maths-10","Perimeter and Area","2","","","short"
"7-maths-10","Perimeter and Area","2","","","short"
"7-maths-10","Perimeter and Area","2","","","short"
"7-maths-11","Exponents and Powers","1","","","short"
"7-maths-11","Exponents and Powers","1","","","short"
"7-maths-11","Exponents and Powers","1","","","short"
"7-maths-11","Exponents and Powers","1","","","short"
"7-maths-11","Exponents and Powers","1","","","short"
"7-maths-11","Exponents and Powers","2","","","short"
"7-maths-11","Exponents and Powers","2","","","short"
"7-maths-11","Exponents and Powers","2","","","short"
"7-maths-11","Exponents and Powers","2","","","short"
"7-maths-11","Exponents and Powers","2","","","short"
"7-maths-12","Symmetry","1","","","short"
"7-maths-12","Symmetry","1","","","short"
"7-maths-12","Symmetry","1","","","short"
"7-maths-12","Symmetry","1","","","short"
"7-maths-12","Symmetry","1","","","short"
"7-maths-12","Symmetry","2","","","short"
"7-maths-12","Symmetry","2","","","short"
"7-maths-12","Symmetry","2","","","short"
"7-maths-12","Symmetry","2","","","short"
"7-maths-12","Symmetry","2","","","short"
"7-maths-13","Visualising Solid Shapes","1","","","short"
"7-maths-13","Visualising Solid Shapes","1","","","short"
"7-maths-13","Visualising Solid Shapes","1","","","short"
"7-maths-13","Visualising Solid Shapes","1","","","short"
"7-maths-13","Visualising Solid Shapes","1","","","short"
"7-maths-13","Visualising Solid Shapes","2","","","short"
"7-maths-13","Visualising Solid Shapes","2","","","short"
"7-maths-13","Visualising Solid Shapes","2","","","short"
"7-maths-13","Visualising Solid Shapes","2","","","short"
"7-maths-13","Visualising Solid Shapes","2","","","short"
"7-science-1","Nutrition in Plants","1","","","short"
"7-science-1","Nutrition in Plants","1","","","short"
"7-science-1","Nutrition in Plants","1","","","short"
"7-science-1","Nutrition in Plants","1","","","short"
"7-science-1","Nutrition in Plants","1","","","short"
"7-science-1","Nutrition in Plants","2","","","short"
"7-science-1","Nutrition in Plants","2","","","short"
"7-science-1","Nutrition in Plants","2","","","short"
"7-science-1","Nutrition in Plants","2","","","short"
"7-science-1","Nutrition in Plants","2","","","short"
"7-science-2","Nutrition in Animals","1","","","short"
"7-science-2","Nutrition in Animals","1","","","short"
"7-science-2","Nutrition in Animals","1","","","short"
"7-science-2","Nutrition in Animals","1","","","short"
"7-science-2","Nutrition in Animals","1","","","short"
"7-science-2","Nutrition in Animals","2","","","short"
"7-science-2","Nutrition in Animals","2","","","short"
"7-science-2","Nutrition in Animals","2","","","short"
"7-science-2","Nutrition in Animals","2","","","short"
"7-science-2","Nutrition in Animals","2","","","short"
"7-science-3","Fibre to Fabric","1","","","short"
"7-science-3","Fibre to Fabric","1","","","short"
"7-science-3","Fibre to Fabric","1","","","short"
"7-science-3","Fibre to Fabric","1","","","short"
"7-science-3","Fibre to Fabric","1","","","short"
"7-science-3","Fibre to Fabric","2","","","short"
"7-science-3","Fibre to Fabric","2","","","short"
"7-science-3","Fibre to Fabric","2","","","short"
"7-science-3","Fibre to Fabric","2","","","short"
"7-science-3","Fibre to Fabric","2","","","short"
"7-science-4","Heat","1","","","short"
"7-science-4","Heat","1","","","short"
"7-science-4","Heat","1","","","short"
"7-science-4","Heat","1","","","short"
"7-science-4","Heat","1","","","short"
"7-science-4","Heat","2","","","short"
"7-science-4","Heat","2","","","short"
"7-science-4","Heat","2","","","short"
"7-science-4","Heat","2","","","short"
"7-science-4","Heat","2","","","short"
"7-science-5","Acids, Bases and Salts","1","","","short"
"7-science-5","Acids, Bases and Salts","1","","","short"
"7-science-5","Acids, Bases and Salts","1","","","short"
"7-science-5","Acids, Bases and Salts","1","","","short"
"7-science-5","Acids, Bases and Salts","1","","","short"
"7-science-5","Acids, Bases and Salts","2","","","short"
"7-science-5","Acids, Bases and Salts","2","","","short"
"7-science-5","Acids, Bases and Salts","2","","","short"
"7-science-5","Acids, Bases and Salts","2","","","short"
"7-science-5","Acids, Bases and Salts","2","","","short"
"7-science-6","Physical and Chemical Changes","1","","","short"
"7-science-6","Physical and Chemical Changes","1","","","short"
"7-science-6","Physical and Chemical Changes","1","","","short"
"7-science-6","Physical and Chemical Changes","1","","","short"
"7-science-6","Physical and Chemical Changes","1","","","short"
"7-science-6","Physical and Chemical Changes","2","","","short"
"7-science-6","Physical and Chemical Changes","2","","","short"
"7-science-6","Physical and Chemical Changes","2","","","short"
"7-science-6","Physical and Chemical Changes","2","","","short"
"7-science-6","Physical and Chemical Changes","2","","","short"
"7-science-7","Respiration in Organisms","1","","","short"
"7-science-7","Respiration in Organisms","1","","","short"
"7-science-7","Respiration in Organisms","1","","","short"
"7-science-7","Respiration in Organisms","1","","","short"
"7-science-7","Respiration in Organisms","1","","","short"
"7-science-7","Respiration in Organisms","2","","","short"
